ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year
152,Vriddhachalam,Radhakrishnan,INC,77064,76202,862,GEN,Central,2021
153,Neyveli,SABA.RAJENDRAN,DMK,75177,74200,977,GEN,Central,2021
154,Panruti,VELMURUGAN.T,DMK,93801,89104,4697,GEN,Central,2021
155,Cuddalore,G.IYAPPAN,DMK,84563,79412,5151,GEN,Central,2021
156,Kurinjipadi,M.R.K.PANNEERSELVAM,DMK,101456,83929,17527,GEN,Central,2021
157,Bhuvanagiri,Arunmozhithevan. A,AIADMK,96453,88194,8259,GEN,Central,2021
158,Chidambaram,K.A. PANDIAN,AIADMK,91961,75024,16937,GEN,Central,2021
159,Kattumannarkoil,SINTHANAI SELVAN,VCK,86056,75491,10565,SC,Central,2021
160,Sirkali,PANNEERSELVAM,DMK,94057,81909,12148,SC,Delta,2021
161,Mayiladuthurai,Rajakumar.S,INC,73642,70900,2742,GEN,Delta,2021
162,Poompuhar,Nivedha M. Murugan,DMK,96102,92803,3299,GEN,Delta,2021
163,Nagapattinam,J. Mohamed Shanavas,VCK,66281,59043,7238,GEN,Delta,2021
164,Kilvelur,NAGAIMAALI V P,CPI(M),67988,51003,16985,SC,Delta,2021
165,Vedaranyam,O.S.MANIAN,AIADMK,78719,66390,12329,GEN,Delta,2021
166,Thiruthuraipundi,MARIMUTHU K,CPI,97092,67024,30068,SC,Delta,2021
167,Mannargudi,RAJAA T R B,DMK,87172,49779,37393,GEN,Delta,2021
168,Thiruvarur,KALAIVANAN  POONDI  K.,DMK,108906,57732,51174,GEN,Delta,2021
169,Nannilam,KAMARAJ R,AIADMK,103637,99213,4424,GEN,Delta,2021
170,Thiruvidamarudur,"CHEZHIAAN,  GOVI.",DMK,95763,85083,10680,SC,Delta,2021
171,Kumbakonam,"ANBALAGAN, G.",DMK,96057,74674,21383,GEN,Delta,2021
172,Papanasam,"Dr.JAWAHIRULLAH, M.H.",DMK,86567,70294,16273,GEN,Delta,2021
173,Thiruvaiyaru,DURAI.CHANDRASEKARAN,DMK,103210,49560,53650,GEN,Delta,2021
174,Thanjavur,"NEELAMEGAM, T.K.G.",DMK,103772,56623,47149,GEN,Delta,2021
175,Orathanad,"VAITHILINGAM, R.",AIADMK,90063,61228,28835,GEN,Delta,2021
176,Pattukkottai,"ANNADURAI, K.",DMK,79065,53796,25269,GEN,Delta,2021
177,Peravurani,"ASHOKKUMAR, N.",DMK,89130,65627,23503,GEN,Delta,2021
178,Gandharvakottai,M.Chinnadurai,CPI(M),69710,56989,12721,SC,Delta,2021
179,Viralimalai,VIJAYA BASKER C,AIADMK,102179,78581,23598,GEN,Delta,2021
180,Pudukkottai,V . MUTHURAJA,DMK,85802,72801,13001,GEN,Delta,2021
181,Thirumayam,S.REGUPATHY,DMK,71349,69967,1382,GEN,Delta,2021
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,87935,62088,25847,GEN,Delta,2021
183,Arantangi,RAMACHANDRAN T,INC,81835,50942,30893,GEN,Delta,2021
184,Karaikudi,S.Mangudi,INC,75954,54365,21589,GEN,South,2021
185,Tiruppattur,KR.PERIYAKARUPPAN,DMK,103682,66308,37374,GEN,South,2021
186,Sivaganga,PR. Senthilnathan,AIADMK,82153,70900,11253,GEN,South,2021
