ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year,margin_category
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,89137,76678,12459,GEN,South,2026,10-20k
212,Mudhukulathur,R.S.RAJAKANNAPPAN,DMK,68003,51405,16598,GEN,South,2026,10-20k
213,Vilathikulam,MARKANDAYAN G V,DMK,58395,50167,8228,GEN,South,2026,5-10k
214,Thoothukkudi,SRINATH,TVK,100536,62805,37731,GEN,South,2026,20-50k
215,Tiruchendur,ANITHA R. RADHAKRISHNAN,DMK,72723,66851,5872,GEN,South,2026,5-10k
216,Srivaikuntam,SARAVANAN. G,TVK,58814,57628,1186,GEN,South,2026,<5k
217,Ottapidaram,P .MATHANRAJA,TVK,81625,52542,29083,SC,South,2026,20-50k
218,Kovilpatti,KARUNANITHI.K,DMK,61643,60800,843,GEN,South,2026,<5k
219,Sankarankovil,DR. DHILIPAN JAISHANKAR,AIADMK,64865,58376,6489,SC,South,2026,5-10k
220,Vasudevanallur,E. RAJA,DMK,63045,56462,6583,SC,South,2026,5-10k
221,Kadayanallur,RAJENDRAN. T. M,DMK,79832,73579,6253,GEN,South,2026,5-10k
222,Tenkasi,DR.KALAI KATHIRAVAN,DMK,79699,69400,10299,GEN,South,2026,10-20k
223,Alangulam,PAUL MANOJ PANDIAN,DMK,69170,61372,7798,GEN,South,2026,5-10k
224,Tirunelveli,MURUGHAN.R.S.,TVK,75840,64426,11414,GEN,South,2026,10-20k
225,Ambasamudram,DR.ESAKKI SUBAYA,AIADMK,65589,55344,10245,GEN,South,2026,10-20k
226,Palayamkottai,M.ABDUL WAHAB,DMK,79744,65939,13805,GEN,South,2026,10-20k
227,Nanguneri,REDDIARPATTI V. NARAYANAN,TVK,74952,58533,16419,GEN,South,2026,10-20k
228,Radhapuram,DR.SATHISH CHRISTOPHER,TVK,69947,57634,12313,GEN,South,2026,10-20k
229,Kanniyakumari,THALAVAI SUNDARAM. N,AIADMK,75045,74831,214,GEN,South,2026,<5k
230,Nagercoil,AUSTIN,DMK,69880,62310,7570,GEN,South,2026,5-10k
231,Colachal,THARAHAI CUTHBERT,INC,66207,63374,2833,GEN,South,2026,<5k
232,Padmanabhapuram,CHELLASWAMY. R,CPI(M),68938,53369,15569,GEN,South,2026,10-20k
233,Vilavancode,PRAVEEN T.T,INC,70755,49785,20970,GEN,South,2026,20-50k
234,Killiyoor,RAJESH KUMAR. S,INC,66434,65123,1311,GEN,South,2026,<5k
