ac_number,constituency,winner_2021,party_2021,votes_2021,runner_up_votes_2021,margin_2021,reserved_2021,region_2021,year_2021,winner_2026,party_2026,votes_2026,runner_up_votes_2026,margin_2026,reserved_2026,region_2026,year_2026,flipped,from_to
27,Shozhinganallur,S.ARAVINDRAMESH,DMK,171558,136153,35405,GEN,Chennai Metro,2021,ECR P SARAVANAN,TVK,220382,123602,96780,GEN,Chennai Metro,2026,True,DMK → TVK
28,Alandur,T.M.Anbarasan,DMK,116785,76214,40571,GEN,Chennai Metro,2021,M.HARISH,TVK,112205,82596,29609,GEN,Chennai Metro,2026,True,DMK → TVK
29,Sriperumbudur,SELVAPERUNTHAGAI,INC,115353,104474,10879,SC,Chennai Metro,2021,THENNARASU.K,TVK,147611,93365,54246,SC,Chennai Metro,2026,True,INC → TVK
30,Pallavaram,KARUNANITHI,DMK,126427,88646,37781,GEN,Chennai Metro,2021,J.KAMATCHI,TVK,133611,78918,54693,GEN,Chennai Metro,2026,True,DMK → TVK
31,Tambaram,Raja.S.R,DMK,116840,80016,36824,GEN,Chennai Metro,2021,D.SARATHKUMAR,TVK,118967,83346,35621,GEN,Chennai Metro,2026,True,DMK → TVK
32,Chengalpattu,VARALAKSHMI.M,DMK,130573,103908,26665,GEN,Chennai Metro,2021,S. THIYAGARAJAN,TVK,137136,101495,35641,GEN,Chennai Metro,2026,True,DMK → TVK
33,Thiruporur,S.S.Balaji,VCK,93954,92007,1947,GEN,North,2021,B.VIJAYARAJ,TVK,110095,70744,39351,GEN,North,2026,True,VCK → TVK
34,Cheyyur,Babu M,VCK,82750,78708,4042,SC,North,2021,RAJASEKAR. E,AIADMK,63809,58141,5668,SC,North,2026,True,VCK → AIADMK
36,Uthiramerur,SUNDAR K,DMK,93427,91805,1622,GEN,North,2021,MUNIRATHINAM.J,TVK,84917,70694,14223,GEN,North,2026,True,DMK → TVK
37,Kancheepuram,C.V.M.P. Ezhailzrasan,DMK,102712,91117,11595,GEN,North,2021,R.V. RANJITHKUMAR,TVK,91350,75862,15488,GEN,North,2026,True,DMK → TVK
40,Katpadi,DURAIMURUGAN,DMK,85140,84394,746,GEN,North,2021,DR M SUDHAKAR,TVK,69868,63998,5870,GEN,North,2026,True,DMK → TVK
41,Ranipet,R.GANDHI,DMK,103291,86793,16498,GEN,North,2021,THAHIRA,TVK,91149,85362,5787,GEN,North,2026,True,DMK → TVK
